,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO,marker site,latitude,longitude,site_id
557,Poço no Monte das Faias,ÉVORA,ÉVORA,SÃO MANÇOS,GUADIANA,200.0,231308.0,164721.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076322,38.44918,-7.77445,471/82
569,Poço no Monte dos Atafuis,BEJA,CUBA,CUBA,GUADIANA,170.77,220192.0,129997.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076182,38.13668,-7.90277,499/202
570,Poço no Monte do Moinho Branco,BEJA,VIDIGUEIRA,VIDIGUEIRA,GUADIANA,177.65,228766.0,136313.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076280,38.19335,-7.80472,499/203
571,Poço no Monte do Lisboa,BEJA,VIDIGUEIRA,SELMES,GUADIANA,160.66,228312.0,133906.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076294,38.17168,-7.81,499/204
572,Poço na Herdade Vale do Carvão,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),GUADIANA,115.82,255231.0,130900.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076448,38.14336,-7.50305,501/311
573,SD3 Bicas1,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),GUADIANA,186.87,259806.0,130956.0,A10 - MOURA - FICALHO,,34300,38.14357,-7.45086,501/63
574,SH SANTO ANTÓNIO 2,BEJA,MOURA,MOURA (SANTO AGOSTINHO),GUADIANA,158.36,260951.0,131274.0,A10 - MOURA - FICALHO,,17266,38.14636,-7.43777,501/65
583,Poço Monte das Caldeiras,BEJA,BEJA,NOSSA SENHORA DAS NEVES,GUADIANA,184.75,226772.0,121166.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076112,38.05695,-7.82805,510/65
584,Poço no Monte do Outeiro,BEJA,BEJA,SÃO BRISSOS,GUADIANA,194.13,217039.0,123761.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076168,38.08057,-7.93889,510/66
585,Poço no Monte da Morena,BEJA,BEJA,SÃO MATIAS,GUADIANA,157.49,225336.0,128254.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076196,38.12085,-7.84416,510/68
586,PFT 1,BEJA,SERPA,BRINCHES,GUADIANA,100.0,247102.0,121528.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17043,38.05939,-7.5964,511/71
587,Poço nos Caliços,BEJA,SERPA,PIAS,GUADIANA,145.66,251325.0,128500.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076420,38.12197,-7.54778,512/210
588,Poço no Monte Branco,BEJA,SERPA,PIAS,GUADIANA,200.24,258784.0,121119.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076434,38.05502,-7.46333,512/211
589,FURO DOS POMARES,BEJA,MOURA,MOURA (SANTO AGOSTINHO),GUADIANA,170.0,263002.0,127410.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2075640,38.11141,-7.41472,512/212
590,Poço no Aguieiro,BEJA,SERPA,PIAS,GUADIANA,214.98,263150.0,120905.0,A10 - MOURA - FICALHO,,2076470,38.0528,-7.41361,512/215
591,Ccanas,BEJA,MOURA,MOURA (SANTO AGOSTINHO),GUADIANA,235.2,260938.0,125951.0,A10 - MOURA - FICALHO,,17281,38.09841,-7.43838,512/32
592,SH MONTE BRANCO 1,BEJA,SERPA,PIAS,GUADIANA,194.44,259686.0,122504.0,A10 - MOURA - FICALHO,,17271,38.06744,-7.45294,512/50
593,SH LAMEIRA 1,BEJA,MOURA,MOURA (SANTO AGOSTINHO),GUADIANA,213.09,266242.0,124204.0,A10 - MOURA - FICALHO,,17279,38.0823,-7.37808,513/34
594,SH LAMEIRA 2,BEJA,MOURA,MOURA (SANTO AGOSTINHO),GUADIANA,214.0,266245.0,124203.0,A10 - MOURA - FICALHO,,61917,38.08229,-7.37804,513/35
614,CP 1/93,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,160.0,245984.0,110503.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17035,37.96012,-7.60984,522/200
615,Poço Barranco da Aldeia dos Testudos,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,118.59,244777.0,114555.0,A9 - GABROS DE BEJA,,2076140,37.99669,-7.62332,522/253
616,Poço no Monte de Magalhães,BEJA,BEJA,QUINTOS,GUADIANA,152.34,235888.0,110502.0,A9 - GABROS DE BEJA,,2076154,37.96057,-7.72472,522/254
617,Poço Horta dos Coentros,BEJA,SERPA,BRINCHES,GUADIANA,164.21,245891.0,115948.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076210,38.00918,-7.61055,522/255
618,,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,160.0,253383.0,111799.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,17037,37.97139,-7.52555,523/29
619,,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,149.0,250919.0,112952.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,17036,37.98192,-7.55351,523/30
620,,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,152.0,253900.0,114762.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17045,37.99806,-7.51945,523/31
621,,BEJA,SERPA,PIAS,GUADIANA,190.0,258267.0,116103.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,17052,38.00987,-7.46963,523/32
622,,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,182.0,256216.0,115086.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17051,38.00083,-7.49306,523/33
623,,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,190.0,258997.0,113673.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,17042,37.98793,-7.46151,523/36
624,,BEJA,SERPA,VALE DE VARGO,GUADIANA,200.0,263543.0,113813.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO,17044,37.98888,-7.40976,523/38
625,,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,177.0,256757.0,110989.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17046,37.96389,-7.48722,523/40
626,,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,120.0,252517.0,114224.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17047,37.99329,-7.53523,523/41
627,,BEJA,SERPA,BRINCHES,GUADIANA,120.0,250337.0,113932.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17048,37.99078,-7.56007,523/42
628,,BEJA,SERPA,BRINCHES,GUADIANA,122.0,250001.0,113823.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17049,37.98982,-7.5639,523/43
629,,BEJA,SERPA,BRINCHES,GUADIANA,120.0,249530.0,114260.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,17050,37.99378,-7.56923,523/44
630,Poço no Cangueiro,BEJA,SERPA,BRINCHES,GUADIANA,170.0,251434.0,119003.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076350,38.0364,-7.54722,523/68
631,Poço de Pias,BEJA,SERPA,PIAS,GUADIANA,190.0,256977.0,117992.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076364,38.02697,-7.48416,523/70
632,Poço no Monte das Palmeiras,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,152.01,250911.0,112987.0,A0 - MACIÇO ANTIGO INDIFERENCIADO,,2076378,37.98224,-7.5536,523/72
633,Poço na Herdade de Belmeque,BEJA,SERPA,VALE DE VARGO,GUADIANA,230.0,264585.0,118202.0,A10 - MOURA - FICALHO,,2076484,38.02835,-7.3975,524/114
